[2024-05-25 13:38:31 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:40:43 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:43:28 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:44:26 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:46:46 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:46:53 joining] :msg type : JOIN , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 13:49:57 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:54:12 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:54:17 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:54:17 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:54:22 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:54:22 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:54:27 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 13:54:27 joined] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:08:45 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:08:50 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:08:50 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:08:55 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:08:55 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:09:00 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:09:00 joined] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:15:00 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:15:05 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:15:05 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:15:10 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:15:10 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:15:15 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:15:15 joined] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:16:46 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:16:51 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:16:56 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:17:01 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:17:06 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:17:06 joined] :msg type : DROP , from : 192.168.251.183 , view : 1 , body : 192.168.251.183
[2024-05-25 14:19:58 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:20:03 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:20:08 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:20:24 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 14:20:13 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:21:05 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:21:10 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:21:15 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:21:20 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:21:25 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:21:25 joined] :msg type : DROP , from : 192.168.251.183 , view : 1 , body : 192.168.251.183
[2024-05-25 14:22:05 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:22:10 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:22:15 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:22:20 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:22:25 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:22:25 joined] :msg type : DROP , from : 192.168.251.183 , view : 1 , body : 192.168.251.183
[2024-05-25 14:22:25 change] :msg type : END , from : 192.168.251.183 , view : 1 , body : ;192.168.251.183
[2024-05-25 14:39:31 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:39:43 joining] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 14:39:36 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:39:41 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:39:46 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:39:51 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:39:51 joined] :msg type : DROP , from : 192.168.251.183 , view : 1 , body : 192.168.251.183
[2024-05-25 14:39:51 change] :msg type : END , from : 192.168.251.183 , view : 1 , body : ;192.168.251.183
[2024-05-25 14:40:03 joined] :msg type : END , from : 192.168.251.150 , view : 1 , body : ;192.168.251.150
[2024-05-25 14:39:52 change] :msg type : END , from : 192.168.251.183 , view : 2 , body : ;
[2024-05-25 14:42:29 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:44:49 joining] :msg type : JOIN , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:44:54 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:44:59 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:45:04 joining] :msg type : ALIVE , from : 192.168.251.183 , view : 0 , body : 
[2024-05-25 14:45:09 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:14 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:19 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:24 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:29 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:34 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:39 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:44 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:49 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:54 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:45:59 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:04 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:09 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:14 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:19 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:24 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:29 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:34 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:39 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:44 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:49 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:54 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:46:59 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:04 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:09 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:14 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:19 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:24 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:29 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:34 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:39 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:44 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:49 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:54 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:47:59 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:04 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:09 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:14 joined] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:19 joined] :msg type : JOIN , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 14:48:17 change] :msg type : END , from : 192.168.251.183 , view : 1 , body : ;192.168.251.183;192.168.251.107
[2024-05-25 14:48:19 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:24 change] :msg type : ALIVE , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 14:48:24 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:29 change] :msg type : ALIVE , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 14:48:29 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:34 change] :msg type : ALIVE , from : 192.168.251.107 , view : 0 , body : 
[2024-05-25 14:48:34 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:39 change] :msg type : ALIVE , from : 192.168.251.107 , view : 1 , body : 
[2024-05-25 14:48:39 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:52 change] :msg type : JOIN , from : 192.168.251.150 , view : 0 , body : 
[2024-05-25 14:48:42 change] :msg type : END , from : 192.168.251.107 , view : 1 , body : ;192.168.251.107;192.168.251.150
[2024-05-25 14:48:52 change] :msg type : END , from : 192.168.251.150 , view : 1 , body : ;;192.168.251.107;192.168.251.150
[2024-05-25 14:48:44 change] :msg type : ALIVE , from : 192.168.251.107 , view : 1 , body : 
[2024-05-25 14:48:44 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:49 change] :msg type : ALIVE , from : 192.168.251.107 , view : 1 , body : 
[2024-05-25 14:48:49 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:54 change] :msg type : ALIVE , from : 192.168.251.107 , view : 1 , body : 
[2024-05-25 14:48:54 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:48:59 change] :msg type : ALIVE , from : 192.168.251.107 , view : 1 , body : 
[2024-05-25 14:48:59 change] :msg type : ALIVE , from : 192.168.251.183 , view : 1 , body : 
[2024-05-25 14:49:11 change] :msg type : END , from : 192.168.251.150 , view : 2 , body : ;;192.168.251.150;192.168.251.107
